generation,name,parent,value
,Total,,
,맥주,Total,
,소주,Total,
,양주,Total,
,혼합주,Total,
,전통주,Total,
,동양술,Total,
Z,국산맥주,맥주,63.94849785
Z,희석소주,소주,65.2360515
Z,수입맥주,맥주,28.32618026
Z,막걸리,전통주,20.60085837
Z,수제맥주,맥주,18.45493562
Z,와인/샴페인,양주,18.02575107
Z,위스키,양주,15.45064378
Z,과일소주,소주,24.03433476
Z,칵테일,양주,19.74248927
Z,증류소주,소주,10.72961373
Z,과일맥주,맥주,17.16738197
Z,청주/약주,전통주,12.44635193
Z,사케,동양술,9.871244635
Z,과실주,전통주,11.15879828
Z,고량주,동양술,4.291845494
Z,보드카,양주,8.154506438
Z,사과주,혼합주,9.442060086
Z,무알콜맥주,맥주,7.296137339
Z,발포주,맥주,8.154506438
Z,탄산주,혼합주,7.725321888
Z,진/럼/데킬라,양주,7.296137339
Z,브랜디/꼬냑,양주,3.862660944
Z,RTD,양주,6.008583691
M,국산맥주,맥주,67.28395062
M,희석소주,소주,58.84773663
M,수입맥주,맥주,34.56790123
M,막걸리,전통주,17.28395062
M,수제맥주,맥주,18.3127572
M,와인/샴페인,양주,15.8436214
M,위스키,양주,13.99176955
M,과일소주,소주,8.436213992
M,칵테일,양주,9.259259259
M,증류소주,소주,10.49382716
M,과일맥주,맥주,6.790123457
M,청주/약주,전통주,6.790123457
M,사케,동양술,5.761316872
M,과실주,전통주,5.555555556
M,고량주,동양술,5.144032922
M,보드카,양주,5.967078189
M,사과주,혼합주,4.526748971
M,무알콜맥주,맥주,5.555555556
M,발포주,맥주,3.497942387
M,탄산주,혼합주,4.115226337
M,진/럼/데킬라,양주,3.497942387
M,브랜디/꼬냑,양주,2.674897119
M,RTD,양주,1.440329218
X,국산맥주,맥주,75.89498807
X,희석소주,소주,62.29116945
X,수입맥주,맥주,33.8902148
X,막걸리,전통주,28.16229117
X,수제맥주,맥주,15.51312649
X,와인/샴페인,양주,12.88782816
X,위스키,양주,12.17183771
X,과일소주,소주,5.250596659
X,칵테일,양주,5.250596659
X,증류소주,소주,4.77326969
X,과일맥주,맥주,4.77326969
X,청주/약주,전통주,5.489260143
X,사케,동양술,6.682577566
X,과실주,전통주,4.77326969
X,고량주,동양술,6.443914081
X,보드카,양주,2.625298329
X,사과주,혼합주,2.625298329
X,무알콜맥주,맥주,2.14797136
X,발포주,맥주,3.102625298
X,탄산주,혼합주,1.431980907
X,진/럼/데킬라,양주,1.193317422
X,브랜디/꼬냑,양주,2.386634845
X,RTD,양주,0.715990453